Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
4.3,4,98,36,3,24.1,101.13,Mainly Clear
4.4,4.2,98,34,4,24.1,101.28,NA
3.2,3,98,15,5,17.7,101.44,NA
5.2,4.9,98,13,6,24.1,101.57,Mostly Cloudy
4.2,3.9,98,9,10,24.1,101.63,NA
2.8,2.5,98,8,12,24.1,101.67,NA
3.8,3.5,97,9,17,24.1,101.66,Mainly Clear
4.5,3.9,96,9,14,24.1,101.72,NA
5.1,4.2,94,8,18,24.1,101.66,NA
5.5,4.2,91,8,16,24.1,101.61,Cloudy
5.9,4.2,89,9,20,24.1,101.65,NA
6.1,4.4,89,10,21,16.1,101.72,Rain
6.4,4.8,89,9,30,24.1,101.6,Rain
6.5,4.8,89,8,23,16.1,101.51,Rain
6.2,5,92,9,22,16.1,101.45,Rain
6.3,4.9,91,8,28,4.8,101.35,"Rain,Fog"
5.9,5,94,10,34,4.8,101.22,"Moderate Rain,Fog"
5.9,5,94,10,37,4.8,101.17,"Moderate Rain,Fog"
5.8,4.8,93,9,26,6.4,101.08,"Rain,Fog"
5.5,4.6,94,8,36,6.4,100.94,"Moderate Rain,Fog"
5.8,4.8,94,9,31,9.7,100.93,"Moderate Rain,Fog"
6.2,5.4,94,10,31,24.1,100.87,Rain
6.9,5.5,91,10,26,11.3,100.83,Rain
7.6,6.4,92,14,28,11.3,100.88,Moderate Rain
7.4,6.2,92,16,30,24.1,100.9,Rain
7.4,6.2,92,15,32,24.1,100.93,Rain
7.6,6.2,91,14,32,24.1,101.04,NA
7.4,6,91,14,26,24.1,101.07,Cloudy
7.6,6.2,91,15,28,24.1,101.17,NA
7.5,6.3,92,15,22,24.1,101.24,NA
7.1,6,93,15,24,24.1,101.28,Cloudy
6.9,5.6,92,14,16,24.1,101.31,NA
6.7,5.6,92,9,16,24.1,101.38,NA
6.2,5.1,93,12,8,32.2,101.44,Mostly Cloudy
7,5.9,93,12,17,32.2,101.52,NA
6.8,5.7,93,9,13,32.2,101.59,NA
8.3,6.6,89,11,16,32.2,101.67,Mostly Cloudy
9,6.8,86,9,14,32.2,101.71,NA
9.4,6.6,82,12,15,32.2,101.71,NA
9.6,6.3,80,10,20,32.2,101.68,Mainly Clear
9.9,6.1,77,11,21,32.2,101.66,NA
9.2,5.3,77,14,13,32.2,101.68,NA
8.3,5.5,82,13,5,32.2,101.67,Mostly Cloudy
7.7,5.1,83,5,8,32.2,101.63,NA
6.4,4.4,87,4,7,32.2,101.68,NA
5,4,94,28,11,32.2,101.8,Mostly Cloudy
4.9,4.4,96,28,10,32.2,101.86,NA
4.4,4,97,6,4,32.2,101.9,NA
4.3,3.8,97,9,11,32.2,101.94,Cloudy
4.3,3.1,92,9,3,32.2,102.01,NA
3.3,2.5,94,36,1,32.2,102.12,NA
2.2,1.7,97,36,3,32.2,102.2,Cloudy
3.8,3.4,97,7,7,32.2,102.26,NA
3.3,2.8,97,9,6,32.2,102.3,NA
3.8,3.2,96,9,7,32.2,102.39,Cloudy
4.1,3.5,96,7,9,32.2,102.44,NA
4.2,3.4,94,9,16,32.2,102.51,NA
3.6,2.8,95,10,16,32.2,102.5,Mostly Cloudy
4.4,3.6,95,8,14,32.2,102.5,NA
4.9,3.5,90,10,16,32.2,102.51,NA
5.5,3.7,88,9,16,32.2,102.58,Cloudy
6,4.1,87,12,14,32.2,102.57,NA
7,4.5,84,7,7,32.2,102.52,NA
8,4.9,81,8,14,32.2,102.42,Mostly Cloudy
8.6,4.9,78,8,11,32.2,102.34,NA
8,4.4,78,10,16,32.2,102.25,NA
7.3,3.8,78,9,16,32.2,102.12,Mostly Cloudy
5.8,2.8,81,9,11,32.2,102.01,NA
5.9,2.7,80,8,14,32.2,101.89,NA
4.9,2.1,82,11,14,32.2,101.83,Mostly Cloudy
4.3,1.4,81,10,10,32.2,101.75,NA
3.6,0.9,82,9,17,32.2,101.69,NA
5.4,1.5,76,8,16,32.2,101.63,Cloudy
5.2,1.2,75,9,16,32.2,101.58,NA
4.8,1.2,77,10,23,32.2,101.5,NA
5.3,0.9,73,9,22,32.2,101.44,Mostly Cloudy
4,0.6,78,9,13,32.2,101.47,NA
4.6,1,77,9,7,32.2,101.48,NA
3.9,2,87,36,2,32.2,101.63,Cloudy
5.8,2.7,80,12,18,24.1,101.69,Rain
6.1,3.5,83,6,17,19.3,101.72,Rain
5.8,4.3,90,5,18,19.3,101.8,Moderate Rain
5.8,4.5,92,6,19,19.3,101.94,Rain
5.6,4.9,95,7,22,19.3,102.03,Rain
6.3,4.7,89,5,15,32.2,102.06,Rain
6.6,4.7,87,6,8,32.2,102.2,NA
6.3,4.9,91,8,11,32.2,102.29,NA
6.5,5,90,7,6,32.2,102.35,Mostly Cloudy
6.9,5.4,90,36,8,32.2,102.41,NA
7.3,5.3,87,36,2,32.2,102.52,NA
6.5,5,90,11,3,32.2,102.56,Mainly Clear
5.3,4.7,96,16,6,32.2,102.64,NA
5.5,5,96,12,5,32.2,102.76,NA
5.2,4.5,95,9,7,32.2,102.83,Mostly Cloudy
4.8,4.4,98,36,1,32.2,102.89,NA
3.8,3.5,98,4,4,32.2,102.95,NA
2.2,2,98,10,7,32.2,102.97,Clear
1.7,1.4,98,10,7,32.2,103.04,NA
0.9,0.7,98,10,8,0.6,103.05,Fog
1,0.7,98,10,10,0.2,103.04,Fog
0.8,0.6,99,9,11,9.7,103.05,Fog
2.1,2,99,8,9,0.6,103.02,Fog
2.2,2.1,99,9,6,0.2,103.03,Fog
2.6,2.4,99,6,8,32.2,102.96,NA
2,1.8,99,9,4,32.2,102.92,NA
1,0.8,99,9,8,24.1,102.86,Mostly Cloudy
-0.2,-0.4,98,1,6,32.2,102.8,NA
0.3,0.2,99,9,6,32.2,102.8,NA
3,2.8,99,9,5,32.2,102.77,Mostly Cloudy
3.8,3.1,96,10,12,32.2,102.68,NA
4.6,2.4,86,9,14,32.2,102.56,NA
5.7,2.3,79,9,12,24.1,102.42,Cloudy
5.8,2.2,77,7,9,32.2,102.3,NA
6.2,2.4,77,36,3,32.2,102.25,NA
4.9,3.5,91,28,7,32.2,102.21,Cloudy
4.5,3.1,91,32,9,32.2,102.14,NA
5.4,2.9,84,7,7,24.1,102.14,Rain
7.2,2.1,70,4,28,24.1,102.04,Cloudy
6.3,2.4,76,7,26,24.1,101.99,NA
7,1.8,70,6,20,24.1,101.86,NA
6.1,2.4,77,10,10,24.1,101.92,Mostly Cloudy
6.3,2.4,76,8,16,24.1,101.84,NA
5.7,3.1,83,9,21,24.1,101.83,Rain
6.7,3.1,78,2,13,24.1,101.87,Rain
7,3.5,79,5,17,19.3,101.92,Rain
7,3.2,76,10,21,19.3,102.04,Rain
6.3,4.1,86,7,22,19.3,102.03,Rain
6,4.5,90,6,15,12.9,102.1,Rain
5.8,4.7,92,7,15,6.4,102.16,"Moderate Rain,Fog"
5.3,4.6,95,8,17,24.1,102.18,Rain
5.5,4.5,93,7,15,32.2,102.19,NA
5.9,4.8,93,10,17,32.2,102.23,NA
6,4.7,91,8,18,32.2,102.24,Cloudy
6.6,4.9,89,8,15,9.7,102.28,"Rain,Fog"
7.1,5.9,92,8,15,11.3,102.24,Rain
7.9,5.8,86,9,15,32.2,102.24,Cloudy
7.9,6.1,88,8,14,32.2,102.22,NA
7.6,5.9,89,8,17,32.2,102.19,NA
7.8,5.9,88,9,17,32.2,102.17,Cloudy
7.9,5.9,87,7,16,32.2,102.12,NA
7.8,6.1,89,8,15,24.1,102.09,Rain
7.9,5.9,87,9,17,24.1,102.03,Cloudy
8,6,87,9,17,24.1,102,NA
8.3,6,85,8,18,24.1,102.03,NA
8.1,6.2,87,9,17,24.1,101.99,Rain
8,6.3,89,10,17,24.1,102.01,Rain
8,6.6,91,9,20,24.1,101.98,NA
8.4,6.6,89,10,26,24.1,101.88,Cloudy
8.9,6.4,84,11,26,24.1,101.85,NA
9,6.4,84,10,22,24.1,101.82,NA
9.4,6.3,81,13,18,24.1,101.73,Cloudy
9.2,6.2,81,11,27,24.1,101.68,Rain
8.7,7,89,12,19,19.3,101.71,Rain
8.4,7.3,93,15,8,11.3,101.79,Moderate Rain
8.3,7.3,94,11,21,32.2,101.65,NA
8.5,7.3,92,12,20,32.2,101.77,NA
8.3,7.1,92,10,25,32.2,101.77,Cloudy
8.4,7.1,91,9,22,32.2,101.7,NA
8.8,7.1,89,11,25,32.2,101.69,NA
9.1,7,87,8,17,32.2,101.65,Cloudy
9.3,6.5,82,8,13,32.2,101.56,NA
9.5,6.1,79,9,19,24.1,101.5,NA
9.9,5.6,74,7,22,32.2,101.36,Cloudy
10,5.8,75,9,23,32.2,101.27,NA
9.4,6.3,81,8,21,24.1,101.15,Rain
7.8,6.9,94,10,28,16.1,101.04,Rain
8.1,6.8,92,8,28,16.1,100.92,Rain
8,6.7,91,7,25,16.1,100.83,Moderate Rain
8.3,6.5,88,9,29,16.1,100.7,Rain
8.1,6.6,91,7,26,16.1,100.56,Rain
8.4,6.5,88,8,26,19.3,100.45,NA
7.5,6.8,95,8,22,8.1,100.41,"Rain,Fog"
7.7,6.9,95,9,30,9.7,100.24,"Moderate Rain,Fog"
7.9,7.2,95,9,32,9.7,100.12,"Rain,Fog"
7.9,7.2,95,8,30,9.7,100.08,"Rain,Fog"
7.8,7.3,96,10,26,9.7,100.04,"Rain,Fog"
7.9,7.5,97,9,22,12.9,100.04,NA
8.2,7.8,97,9,22,24.1,100.04,Cloudy
9.4,8.8,96,9,15,17.7,100.08,NA
10,9.4,97,8,16,32.2,100.16,NA
10,9.4,96,8,10,17.7,100.31,Cloudy
10.2,9.5,96,7,16,24.1,100.37,NA
10.3,9.8,97,7,11,24.1,100.46,NA
10.7,10,95,8,21,32.2,100.39,Cloudy
10.6,9.7,94,12,20,32.2,100.47,NA
10.4,9.7,95,10,23,32.2,100.41,NA
9.9,9.4,96,10,23,32.2,100.34,Cloudy
10,9.7,98,9,15,8.1,100.18,"Rain,Fog"
9.8,9.4,98,9,23,6.4,100.01,"Moderate Rain,Fog"
9.8,9.4,97,8,30,6.4,99.68,"Rain,Fog"
10,9.3,96,9,25,8.1,99.55,"Rain,Fog"
9.7,9.2,96,10,22,6.4,99.37,"Moderate Rain,Fog"
11.9,11.2,96,14,35,9.7,99.23,"Rain,Fog"
11.9,11.2,95,14,32,16.1,99.07,Rain
12,10.9,93,16,40,24.1,99.06,NA
6.1,5.3,94,28,47,16.1,99.55,Cloudy
5.8,4.7,93,28,37,24.1,100.01,NA
6.4,4.6,88,27,26,24.1,100.45,NA
7.3,4.1,80,24,28,24.1,100.71,Mostly Cloudy
7.6,1.6,66,25,42,24.1,100.98,NA
6.9,0.8,65,24,44,24.1,101.28,NA
6.8,1,66,24,36,32.2,101.5,Clear
7,1.1,66,25,34,32.2,101.77,NA
7.3,1.5,67,25,35,32.2,102.11,NA
7.8,2.3,68,27,28,32.2,102.34,Mainly Clear
8.3,3.6,72,29,21,32.2,102.56,NA
8.8,3.5,69,30,13,32.2,102.68,NA
9,3,66,29,12,32.2,102.72,Clear
8.9,2.6,65,26,10,32.2,102.82,NA
8.8,0.6,56,29,12,32.2,102.95,NA
7,2.8,75,21,17,32.2,103.07,Clear
5.8,2.1,77,8,9,32.2,103.15,NA
4.8,1.2,77,13,10,32.2,103.16,NA
4.4,1,78,8,7,32.2,103.27,Mainly Clear
4.7,1,77,8,7,32.2,103.28,NA
4.5,1,78,8,13,32.2,103.29,NA
3.7,0.8,82,8,11,32.2,103.31,Mainly Clear
3.2,0.9,85,8,10,32.2,103.36,NA
2.9,0.6,84,7,10,32.2,103.38,NA
2.5,0.7,88,9,12,32.2,103.37,Mainly Clear
1.5,0.1,90,9,9,32.2,103.35,NA
1.8,0.1,88,8,10,32.2,103.37,NA
1.8,0.2,89,10,8,32.2,103.32,Mostly Cloudy
2.7,0.8,87,10,9,32.2,103.28,NA
3.4,1.4,87,36,1,32.2,103.19,NA
3.7,0.6,80,10,9,32.2,103.09,Mostly Cloudy
3.5,1.3,86,27,7,32.2,103.11,NA
4.3,2.5,88,18,7,32.2,103.11,NA
5.3,2.2,80,21,5,32.2,103.09,Mostly Cloudy
5.9,1.4,73,21,5,32.2,103.03,NA
6.3,1.6,72,25,8,32.2,102.97,NA
7.2,2,69,12,5,32.2,102.85,Mostly Cloudy
8.6,1.7,62,6,9,32.2,102.79,NA
6.8,3.2,78,36,1,32.2,102.71,NA
8.1,2.8,69,11,9,32.2,102.6,Mostly Cloudy
5.6,3.5,86,27,5,32.2,102.54,NA
6.3,3.6,83,0,1,32.2,102.45,NA
6.2,4,86,36,3,32.2,102.38,Cloudy
6.8,3,76,9,18,32.2,102.31,NA
6.6,2.8,77,10,14,32.2,102.37,NA
7.3,2.3,70,8,13,32.2,102.36,Rain
7.1,4.3,82,8,20,6.4,102.45,"Moderate Rain,Fog"
7.3,5.6,89,5,25,19.3,102.42,Rain
7.7,6.3,91,5,33,12.9,102.44,Cloudy
7.6,7.1,97,10,25,16.1,102.5,Rain
7.7,7.2,96,7,17,32.2,102.58,NA
8.1,7.2,95,7,17,32.2,102.64,Cloudy
8,7.2,94,7,13,32.2,102.65,NA
7.9,7.1,95,10,7,32.2,102.71,NA
7.4,6.7,95,9,12,32.2,102.74,Cloudy
5.2,4.6,96,11,12,24.1,102.81,NA
6.7,6.3,97,6,11,24.1,102.86,NA
8.5,7.5,94,11,10,32.2,102.87,Mainly Clear
8.5,7.6,94,9,12,32.2,102.85,NA
9.5,7.7,88,2,12,32.2,102.83,NA
10.1,7.1,82,6,7,32.2,102.86,Mainly Clear
10.6,6.9,78,15,3,32.2,102.86,NA
9.4,7.1,86,22,9,32.2,102.92,NA
7.5,6.6,94,20,9,32.2,102.95,Clear
5.6,5.2,97,12,6,32.2,102.99,NA
4.4,4,97,32,3,32.2,103,NA
4.9,4.6,98,4,3,32.2,103.06,Clear
6.2,5.8,98,4,8,32.2,103.07,NA
5.8,5.1,95,3,9,32.2,103.06,NA
6.5,4.9,90,8,9,32.2,103.08,Mostly Cloudy
6.3,5.2,93,8,11,32.2,103.1,NA
5.3,4.8,96,8,13,32.2,103.11,NA
4.3,3.8,96,10,15,32.2,103.09,Mainly Clear
4.6,4.2,97,7,9,32.2,103.08,NA
4.9,4.3,96,36,2,32.2,103.12,NA
5.3,4.8,96,10,11,32.2,103.06,Cloudy
5.4,4.8,96,7,7,32.2,103.07,NA
5.4,4.8,96,12,7,32.2,103.03,NA
5,4.3,95,10,8,32.2,102.94,Mostly Cloudy
4.8,4.2,96,13,5,32.2,102.9,NA
5.4,4.4,93,36,2,24.1,102.96,NA
6,5,94,36,2,19.3,102.91,Cloudy
6.4,5.3,92,25,5,24.1,102.91,NA
6.7,5.3,91,25,7,24.1,102.93,NA
6.6,5.3,92,20,7,24.1,102.87,Cloudy
7,5.2,88,24,5,24.1,102.86,NA
6.8,5,88,36,2,24.1,102.84,Rain
6.5,5.4,93,32,4,19.3,102.86,Rain
6.5,5.8,95,7,9,24.1,102.77,Rain
6.6,5.6,93,7,14,19.3,102.66,Rain
6.9,6.1,94,5,10,19.3,102.73,Rain
6.8,5.8,93,8,7,16.1,102.67,Rain
6.1,5.7,97,17,4,19.3,102.74,Rain
6.2,5.8,97,8,10,24.1,102.66,Rain
6.5,5,90,5,18,24.1,102.6,NA
6.1,5.1,93,8,5,24.1,102.68,Rain
6,5.1,94,6,15,24.1,102.67,Rain
6,4.9,92,9,9,32.2,102.65,NA
5.7,4.8,94,8,14,32.2,102.69,NA
5.4,5,97,11,10,32.2,102.72,Cloudy
5.7,5.1,96,7,11,32.2,102.74,NA
5.8,4.9,94,8,13,32.2,102.76,NA
6.1,5.1,94,6,7,32.2,102.78,Cloudy
6.3,5.3,93,6,12,24.1,102.86,NA
6.5,5.4,93,6,7,24.1,102.93,NA
7.1,6,93,9,4,24.1,103.05,Cloudy
8,6.4,89,14,6,32.2,103.1,NA
7.5,6.1,91,24,10,32.2,103.14,NA
7.5,6.2,92,25,11,32.2,103.15,Cloudy
7.3,6.4,94,26,12,32.2,103.17,NA
7.8,6.5,91,27,13,24.1,103.17,NA
7,6,93,29,12,32.2,103.22,Mostly Cloudy
6.9,6.2,96,30,9,32.2,103.31,NA
6.3,5.3,94,30,14,24.1,103.29,NA
6.2,5.6,96,33,17,24.1,103.35,Mostly Cloudy
6.7,6.1,96,29,17,24.1,103.36,NA
5.7,4.8,94,31,14,24.1,103.35,NA
5.4,5.1,98,1,5,24.1,103.41,Mostly Cloudy
4.9,4.7,98,36,4,24.1,103.46,NA
5.8,5.4,97,4,7,24.1,103.46,NA
4.9,4.3,96,35,7,24.1,103.47,Mostly Cloudy
4.8,4.1,95,33,6,24.1,103.53,NA
5.1,4.6,96,35,7,24.1,103.56,NA
4.9,4.5,97,3,7,24.1,103.55,Mainly Clear
1.9,1.3,96,10,5,24.1,103.5,NA
2,1.6,97,32,4,24.1,103.5,NA
3,2.1,94,18,3,32.2,103.5,Clear
1.7,1.2,97,21,3,32.2,103.51,NA
2.7,2.3,98,11,6,32.2,103.59,NA
4.9,3.1,88,36,2,32.2,103.63,Mainly Clear
7.1,4.2,82,29,7,32.2,103.71,NA
6.8,3.7,81,31,17,32.2,103.61,NA
7.2,3.2,76,30,12,32.2,103.53,Mainly Clear
7,3.4,78,29,9,32.2,103.51,NA
6.9,4.2,83,29,13,32.2,103.49,NA
6.2,4.1,86,30,12,32.2,103.51,Clear
3.6,2.8,94,32,13,32.2,103.55,NA
4.2,3.2,94,30,4,32.2,103.54,NA
2.2,1.1,92,32,6,24.1,103.53,Clear
2.3,1.6,95,36,1,24.1,103.51,NA
0.4,-0.5,94,36,7,24.1,103.51,NA
2.3,1.7,96,4,7,24.1,103.53,Clear
1.5,1,96,8,11,24.1,103.51,NA
1.5,0.9,95,9,8,24.1,103.47,NA
1.1,0.4,95,36,5,24.1,103.45,Mostly Cloudy
1.8,1.2,96,32,5,24.1,103.46,NA
1.9,1.4,97,36,3,24.1,103.43,NA
2,1.7,98,9,7,24.1,103.38,Cloudy
2,1.6,97,10,13,24.1,103.3,NA
1.6,1.2,97,10,10,24.1,103.22,NA
1.5,1.2,97,10,7,24.1,103.15,Mostly Cloudy
1.2,0.8,97,9,9,32.2,103.12,NA
1.8,1.4,97,10,11,32.2,103.14,NA
4.6,3.1,90,9,12,32.2,103.11,Mostly Cloudy
5.6,3,84,11,17,24.1,103.09,NA
6.8,3.9,81,13,13,32.2,102.98,NA
6.5,3,78,14,17,32.2,102.87,Mostly Cloudy
6.1,3.1,81,11,16,32.2,102.83,NA
6.3,3,79,13,18,32.2,102.72,NA
6.1,3.3,82,15,11,32.2,102.73,Cloudy
5.7,3.6,86,10,13,32.2,102.65,NA
6,3.6,84,8,10,24.1,102.62,NA
6,3.6,85,10,13,24.1,102.58,Cloudy
6.1,3.4,83,9,8,24.1,102.6,NA
5.7,3.6,86,11,6,24.1,102.58,NA
5.3,3.2,87,9,4,24.1,102.56,Cloudy
4.9,4.2,95,33,4,22.5,102.54,NA
5.1,3.9,91,36,4,24.1,102.49,NA
4.8,3.9,94,31,5,24.1,102.47,Cloudy
5,4.2,94,33,4,24.1,102.44,NA
4.8,3.9,94,28,4,24.1,102.41,NA
5.1,4.1,93,31,8,24.1,102.37,Cloudy
4.5,3.4,93,25,8,24.1,102.32,NA
4.7,3.6,93,26,8,24.1,102.33,NA
4.1,3.2,94,29,8,32.2,102.28,Mostly Cloudy
3.7,3,95,29,8,32.2,102.23,NA
4.5,4,97,36,2,32.2,102.25,NA
5,4.3,95,33,7,32.2,102.26,Cloudy
6.1,4.5,89,34,5,32.2,102.24,NA
6.9,4.7,86,29,7,32.2,102.18,NA
7,4.5,84,27,8,32.2,102.13,Mostly Cloudy
6.7,4.4,86,29,14,32.2,102.09,NA
6.4,4.2,86,29,13,32.2,102.07,NA
5.6,3.6,87,32,8,32.2,102.05,Mostly Cloudy
4.6,3.5,93,30,8,32.2,102.03,NA
5.1,4.2,94,27,9,32.2,102.04,NA
5.6,4.4,92,28,14,32.2,102.02,Cloudy
5.5,4.2,91,31,11,32.2,102.02,NA
5.5,4.4,92,31,9,32.2,102,NA
5.4,4.1,91,36,2,32.2,102.01,Cloudy
5.5,3.9,90,12,3,32.2,102,NA
5.6,4.5,93,8,6,24.1,102.01,Rain
4.8,4.3,97,32,8,32.2,102,Cloudy
4.8,4.4,97,33,9,32.2,101.98,NA
4.6,4.2,97,32,7,32.2,101.96,NA
4.5,3.9,96,36,2,32.2,101.92,Cloudy
3.6,3.1,96,36,1,32.2,101.89,NA
3.7,3.3,97,0,1,32.2,101.88,NA
3,2.7,98,36,3,32.2,101.88,Mostly Cloudy
2.1,1.6,97,10,9,32.2,101.89,NA
4,3.7,98,31,5,32.2,101.94,NA
5.7,4.4,92,36,2,32.2,101.94,Mostly Cloudy
6.8,3.9,81,1,4,32.2,101.95,NA
7.2,3.9,79,29,22,32.2,101.91,NA
7.3,3.7,78,29,23,32.2,101.87,Mainly Clear
6.9,4.2,83,28,27,32.2,101.84,NA
6.8,4.5,85,29,25,32.2,101.83,NA
6.1,3.9,85,29,24,32.2,101.81,Clear
5.1,3.2,88,29,23,32.2,101.84,NA
4.8,3.2,89,29,23,32.2,101.84,NA
4.3,2.7,89,30,17,32.2,101.85,Clear
2.5,0.8,89,33,10,32.2,101.88,NA
0.7,-0.6,91,1,8,32.2,101.87,NA
2.1,0.6,89,3,4,32.2,101.9,Clear
2.4,-0.9,79,21,5,32.2,101.92,NA
-0.7,-1.8,92,35,5,32.2,101.92,NA
-0.7,-2.4,88,36,3,32.2,101.91,Clear
-0.5,-2.3,88,35,9,32.2,101.91,NA
-0.2,-1.7,90,34,3,32.2,101.92,NA
-1.5,-3.4,87,1,5,32.2,101.86,Clear
-1,-2.2,92,36,7,32.2,101.86,NA
-1.5,-3.7,85,12,3,32.2,101.86,NA
-0.8,-2.7,87,8,4,32.2,101.9,Mainly Clear
-1.8,-3.7,87,13,5,32.2,101.94,NA
1.1,-2.6,76,33,10,32.2,101.95,NA
3.2,-2,69,31,14,32.2,101.98,Clear
4.5,-2.8,59,30,18,32.2,101.97,NA
5.3,-2.5,57,30,19,32.2,101.94,NA
5.2,1.3,76,30,22,32.2,101.92,Clear
5.4,1.6,77,29,21,32.2,101.9,NA
5.3,0.9,73,29,25,32.2,101.87,NA
4.5,1,78,29,22,32.2,101.86,Clear
2.7,0.1,83,29,14,32.2,101.85,NA
2.6,0,83,30,15,32.2,101.85,NA
1.4,-0.6,86,34,4,32.2,101.86,Clear
0.8,-0.5,91,36,1,32.2,101.89,NA
