Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-01 19:00,2021,4,1,19:00,9.8,2.7,61,12,15,24.1,101.22,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-01 20:00,2021,4,1,20:00,8.1,4.3,77,10,14,24.1,101.27,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-01 21:00,2021,4,1,21:00,8.1,4.9,80,18,7,24.1,101.31,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-01 22:00,2021,4,1,22:00,8.4,4.4,76,36,1,24.1,101.34,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-01 23:00,2021,4,1,23:00,8,4.2,77,20,4,24.1,101.35,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 0:00,2021,4,2,0:00,7,4.9,86,21,10,24.1,101.39,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 1:00,2021,4,2,1:00,7.5,4.7,82,15,4,24.1,101.41,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 2:00,2021,4,2,2:00,7.5,3.6,76,18,14,24.1,101.41,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 3:00,2021,4,2,3:00,7.2,1.5,67,17,7,24.1,101.46,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 4:00,2021,4,2,4:00,6.7,1.6,70,18,17,24.1,101.49,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 5:00,2021,4,2,5:00,6.8,0.5,64,18,17,24.1,101.55,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 6:00,2021,4,2,6:00,6.6,0.4,65,21,13,32.2,101.6,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 7:00,2021,4,2,7:00,6.8,1,66,13,8,32.2,101.64,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 8:00,2021,4,2,8:00,6.9,0.3,63,19,9,32.2,101.7,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 9:00,2021,4,2,9:00,7.3,0.8,63,13,10,32.2,101.74,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 10:00,2021,4,2,10:00,7.8,1.9,66,10,18,32.2,101.81,Rain Showers
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 11:00,2021,4,2,11:00,8.1,3,70,11,12,32.2,101.87,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 12:00,2021,4,2,12:00,8.4,1.9,64,10,16,32.2,101.91,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 13:00,2021,4,2,13:00,10.8,3,59,13,12,32.2,101.93,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 14:00,2021,4,2,14:00,10.1,-1.1,45,36,2,32.2,101.92,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 15:00,2021,4,2,15:00,10.9,0.2,47,16,14,32.2,101.93,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 16:00,2021,4,2,16:00,10.8,-1.2,43,12,6,32.2,101.91,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 17:00,2021,4,2,17:00,10.1,-0.3,48,16,9,32.2,101.91,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 18:00,2021,4,2,18:00,9.5,0.3,53,16,12,32.2,101.93,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 19:00,2021,4,2,19:00,8,0.1,57,14,10,32.2,101.92,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 20:00,2021,4,2,20:00,7.6,0.1,59,13,9,24.1,101.96,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 21:00,2021,4,2,21:00,7.8,0.5,60,8,9,24.1,101.98,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 22:00,2021,4,2,22:00,7.2,1.8,68,8,8,24.1,101.99,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-02 23:00,2021,4,2,23:00,7.1,1.8,69,8,10,24.1,101.99,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 0:00,2021,4,3,0:00,6.9,1.8,70,8,10,24.1,101.99,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 1:00,2021,4,3,1:00,6,2.2,77,10,10,24.1,101.98,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 2:00,2021,4,3,2:00,6.6,2.2,74,11,9,24.1,101.97,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 3:00,2021,4,3,3:00,6.2,3.2,81,34,4,24.1,101.97,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 4:00,2021,4,3,4:00,7,2.7,74,36,3,24.1,101.96,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 5:00,2021,4,3,5:00,6.6,3.5,81,8,8,24.1,101.94,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 6:00,2021,4,3,6:00,6.6,3.6,81,10,12,24.1,101.93,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 7:00,2021,4,3,7:00,7,3.6,79,10,14,24.1,101.95,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 8:00,2021,4,3,8:00,7.1,4.7,84,9,14,16.1,101.97,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 9:00,2021,4,3,9:00,7.5,5.7,88,7,17,16.1,102,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 10:00,2021,4,3,10:00,8.4,6,84,9,14,24.1,102.04,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 11:00,2021,4,3,11:00,9.2,6.1,81,7,19,24.1,102.03,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 12:00,2021,4,3,12:00,9.7,5.3,74,9,22,32.2,102.02,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 13:00,2021,4,3,13:00,10.2,5.5,73,8,17,32.2,102.01,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 14:00,2021,4,3,14:00,10.9,5.8,70,9,20,32.2,102.02,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 15:00,2021,4,3,15:00,10.7,5.8,72,9,19,32.2,102.01,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 16:00,2021,4,3,16:00,10.9,6.7,75,10,16,40.2,101.98,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 17:00,2021,4,3,17:00,10.5,6.4,75,8,16,32.2,101.95,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 18:00,2021,4,3,18:00,10.5,6.2,75,13,13,32.2,101.93,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 19:00,2021,4,3,19:00,9.1,6.2,82,10,13,32.2,101.95,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 20:00,2021,4,3,20:00,9.9,3.1,63,25,19,32.2,102,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 21:00,2021,4,3,21:00,9.2,4.3,72,24,21,32.2,102.03,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 22:00,2021,4,3,22:00,8.8,4.7,75,26,23,32.2,102.07,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-03 23:00,2021,4,3,23:00,8.1,5.7,84,29,26,32.2,102.14,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 0:00,2021,4,4,0:00,7.3,3.9,79,28,37,32.2,102.17,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 1:00,2021,4,4,1:00,7.2,3.3,76,28,38,32.2,102.18,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 2:00,2021,4,4,2:00,6.8,3.1,77,27,36,32.2,102.17,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 3:00,2021,4,4,3:00,6.3,2.9,79,28,40,32.2,102.17,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 4:00,2021,4,4,4:00,5.9,2.1,76,28,41,32.2,102.17,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 5:00,2021,4,4,5:00,5.6,2.1,78,28,41,32.2,102.22,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 6:00,2021,4,4,6:00,5.4,1,73,28,39,40.2,102.26,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 7:00,2021,4,4,7:00,6.1,-1,60,28,45,40.2,102.3,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 8:00,2021,4,4,8:00,6.8,-0.1,61,29,46,40.2,102.32,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 9:00,2021,4,4,9:00,7.5,1.8,67,29,40,40.2,102.34,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 10:00,2021,4,4,10:00,8.2,2,65,28,39,40.2,102.37,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 11:00,2021,4,4,11:00,8.3,2.5,66,28,44,40.2,102.39,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 12:00,2021,4,4,12:00,8.6,2.6,66,28,41,48.3,102.41,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 13:00,2021,4,4,13:00,9.5,3.3,65,28,32,40.2,102.44,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 14:00,2021,4,4,14:00,9.5,3,64,29,34,40.2,102.47,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 15:00,2021,4,4,15:00,9.6,3.3,65,29,26,40.2,102.44,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 16:00,2021,4,4,16:00,9.9,1.4,55,29,28,40.2,102.44,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 17:00,2021,4,4,17:00,9.6,3.3,65,28,16,40.2,102.4,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 18:00,2021,4,4,18:00,8.4,3.4,71,27,19,40.2,102.37,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 19:00,2021,4,4,19:00,7.3,3.3,76,28,21,40.2,102.35,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 20:00,2021,4,4,20:00,7.3,3.9,79,29,25,32.2,102.36,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 21:00,2021,4,4,21:00,7.2,4.2,81,29,27,32.2,102.37,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 22:00,2021,4,4,22:00,7.4,4.3,81,30,23,32.2,102.36,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-04 23:00,2021,4,4,23:00,5.6,2.6,81,31,17,32.2,102.38,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 0:00,2021,4,5,0:00,5.3,1.5,77,34,8,32.2,102.36,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 1:00,2021,4,5,1:00,2.6,-0.6,79,36,8,32.2,102.38,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 2:00,2021,4,5,2:00,2.6,-0.4,81,8,4,32.2,102.36,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 3:00,2021,4,5,3:00,1.7,0.4,91,36,3,32.2,102.38,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 4:00,2021,4,5,4:00,2.4,0.2,86,4,4,32.2,102.39,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 5:00,2021,4,5,5:00,0.9,-1.2,86,11,7,32.2,102.41,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 6:00,2021,4,5,6:00,1,-1.1,86,11,12,40.2,102.43,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 7:00,2021,4,5,7:00,3.3,1.3,87,9,9,40.2,102.45,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 8:00,2021,4,5,8:00,5.7,1.5,74,36,3,40.2,102.47,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 9:00,2021,4,5,9:00,7.4,2.2,69,33,8,40.2,102.46,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 10:00,2021,4,5,10:00,8.2,2.9,69,29,14,40.2,102.45,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 11:00,2021,4,5,11:00,8.3,3.1,70,29,14,40.2,102.42,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 12:00,2021,4,5,12:00,8.3,3.4,71,26,15,40.2,102.37,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 13:00,2021,4,5,13:00,8.9,3.1,67,28,15,40.2,102.34,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 14:00,2021,4,5,14:00,9,3.8,70,26,14,40.2,102.29,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 15:00,2021,4,5,15:00,8.9,3.7,70,26,12,40.2,102.22,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 16:00,2021,4,5,16:00,8.6,3,68,27,11,40.2,102.16,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 17:00,2021,4,5,17:00,8.3,2.7,68,26,12,40.2,102.11,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 18:00,2021,4,5,18:00,7.6,2.7,71,27,5,40.2,102.08,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 19:00,2021,4,5,19:00,6.9,2.3,72,26,4,40.2,102.07,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 20:00,2021,4,5,20:00,7,1.9,70,36,1,32.2,102.09,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 21:00,2021,4,5,21:00,4.6,1.9,83,36,4,32.2,102.11,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 22:00,2021,4,5,22:00,5.5,1.2,74,4,6,32.2,102.09,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-05 23:00,2021,4,5,23:00,5.2,1,74,8,7,32.2,102.09,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 0:00,2021,4,6,0:00,3.2,-0.3,78,10,10,32.2,102.09,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 1:00,2021,4,6,1:00,4.3,1.3,81,8,9,32.2,102.09,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 2:00,2021,4,6,2:00,2.8,0.9,87,8,3,32.2,102.08,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 3:00,2021,4,6,3:00,3.6,1.2,84,9,4,32.2,102.09,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 4:00,2021,4,6,4:00,2.9,1,87,36,4,32.2,102.11,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 5:00,2021,4,6,5:00,2.1,0.8,91,36,2,32.2,102.11,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 6:00,2021,4,6,6:00,3.4,1,84,7,8,40.2,102.08,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 7:00,2021,4,6,7:00,3.9,1.8,86,8,8,40.2,102.11,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 8:00,2021,4,6,8:00,7.6,2.3,68,9,8,40.2,102.12,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 9:00,2021,4,6,9:00,8.8,3.6,69,1,4,40.2,102.19,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 10:00,2021,4,6,10:00,10.8,3.9,62,9,4,40.2,102.1,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 11:00,2021,4,6,11:00,11.3,4.4,62,9,4,40.2,102.05,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 12:00,2021,4,6,12:00,11.7,3.8,58,9,4,40.2,102,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 13:00,2021,4,6,13:00,12.5,3.7,54,9,4,40.2,101.94,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 14:00,2021,4,6,14:00,15,3.6,46,9,4,40.2,101.88,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 15:00,2021,4,6,15:00,14,3.1,47,9,4,40.2,101.83,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 16:00,2021,4,6,16:00,11.2,5.8,69,20,13,40.2,101.79,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 17:00,2021,4,6,17:00,11.9,3.2,55,15,11,40.2,101.75,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 18:00,2021,4,6,18:00,10.4,2.8,59,14,11,32.2,101.7,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 19:00,2021,4,6,19:00,9.2,2.7,64,11,7,32.2,101.65,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 20:00,2021,4,6,20:00,7.4,2.7,72,10,11,32.2,101.64,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 21:00,2021,4,6,21:00,7.2,2.7,73,10,12,32.2,101.63,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 22:00,2021,4,6,22:00,6.5,2.2,74,10,12,32.2,101.61,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-06 23:00,2021,4,6,23:00,7.2,2.5,72,10,14,32.2,101.57,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 0:00,2021,4,7,0:00,6.9,2.8,75,10,16,32.2,101.54,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 1:00,2021,4,7,1:00,7.1,3.9,80,10,18,32.2,101.5,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 2:00,2021,4,7,2:00,7,4,81,9,16,32.2,101.49,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 3:00,2021,4,7,3:00,7.3,3.9,79,8,16,32.2,101.48,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 4:00,2021,4,7,4:00,6.7,3.9,82,8,6,32.2,101.52,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 5:00,2021,4,7,5:00,7.3,3.9,79,13,8,32.2,101.52,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 6:00,2021,4,7,6:00,7.5,3.9,77,8,9,32.2,101.51,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 7:00,2021,4,7,7:00,7,5,88,7,11,24.1,101.54,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 8:00,2021,4,7,8:00,7,4.6,85,19,23,17.7,101.57,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 9:00,2021,4,7,9:00,7.4,4.2,80,16,12,32.2,101.55,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 10:00,2021,4,7,10:00,7.9,3.9,76,12,11,32.2,101.58,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 11:00,2021,4,7,11:00,8.2,3.9,74,14,8,32.2,101.58,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 12:00,2021,4,7,12:00,8.1,4.3,77,15,19,24.1,101.53,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 13:00,2021,4,7,13:00,8.3,3.9,74,16,28,24.1,101.51,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 14:00,2021,4,7,14:00,7.7,5.3,85,17,26,24.1,101.51,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 15:00,2021,4,7,15:00,7.7,5.5,86,16,17,32.2,101.49,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 16:00,2021,4,7,16:00,7.7,5,83,15,17,32.2,101.44,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 17:00,2021,4,7,17:00,7.9,4.4,78,17,16,32.2,101.4,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 18:00,2021,4,7,18:00,7.7,4.1,78,17,22,32.2,101.34,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 19:00,2021,4,7,19:00,7.8,3.7,75,28,17,32.2,101.33,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 20:00,2021,4,7,20:00,6.5,3.2,79,30,14,24.1,101.36,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 21:00,2021,4,7,21:00,4.3,1.7,83,31,10,24.1,101.4,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 22:00,2021,4,7,22:00,4.7,1.8,81,27,14,24.1,101.43,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-07 23:00,2021,4,7,23:00,6.2,3.4,82,29,30,24.1,101.48,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 0:00,2021,4,8,0:00,5.9,1.1,71,27,43,24.1,101.48,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 1:00,2021,4,8,1:00,5.8,1.5,74,28,40,22.5,101.52,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 2:00,2021,4,8,2:00,5.2,2.7,84,27,40,24.1,101.58,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 3:00,2021,4,8,3:00,4.9,0.4,72,28,50,24.1,101.62,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 4:00,2021,4,8,4:00,4.8,0.4,73,29,50,24.1,101.68,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 5:00,2021,4,8,5:00,4.8,0.7,75,28,47,32.2,101.76,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 6:00,2021,4,8,6:00,4.8,0.6,74,29,45,32.2,101.88,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 7:00,2021,4,8,7:00,5.5,1.3,74,29,42,32.2,102.04,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 8:00,2021,4,8,8:00,6.5,1.6,71,28,35,32.2,102.13,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 9:00,2021,4,8,9:00,7.5,1.6,66,29,34,32.2,102.22,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 10:00,2021,4,8,10:00,8.3,2.9,68,28,24,32.2,102.37,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 11:00,2021,4,8,11:00,8.8,1.6,60,28,26,32.2,102.46,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 12:00,2021,4,8,12:00,8.7,0.8,58,27,25,32.2,102.53,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 13:00,2021,4,8,13:00,9,1.1,57,29,16,32.2,102.56,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 14:00,2021,4,8,14:00,8.8,0.5,56,24,9,32.2,102.58,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 15:00,2021,4,8,15:00,9.6,-2.3,43,19,17,32.2,102.57,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 16:00,2021,4,8,16:00,10.2,-6,32,20,18,32.2,102.55,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 17:00,2021,4,8,17:00,10.1,-1.8,43,18,15,32.2,102.52,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 18:00,2021,4,8,18:00,8.9,-0.7,51,14,11,32.2,102.49,NA
-123.18,49.19,VANCOUVER INTL A,1108395,2021-04-08 19:00,2021,4,8,19:00,8.8,-0.9,50,12,11,24.1,102.46,Cloudy
